"data","age","new_cases","total_cases","male","female","incidence"
2024-04-08,"0_9",7,7,6,1,"1.5"
2024-04-08,"10_19",0,0,0,0,"0.0"
2024-04-08,"20_29",18,18,8,10,"3.01"
2024-04-08,"30_39",27,27,12,15,"4.07"
2024-04-08,"40_49",24,24,13,11,"2.84"
2024-04-08,"50_59",23,23,10,13,"2.42"
2024-04-08,"60+",1,1,0,1,"0.06"
2024-05-13,"0_9",1,8,7,1,"1.72"
2024-05-13,"10_19",4,4,4,0,"0.7"
2024-05-13,"20_29",8,26,13,13,"4.34"
2024-05-13,"30_39",21,48,22,26,"7.24"
2024-05-13,"40_49",18,42,22,20,"4.97"
2024-05-13,"50_59",11,34,16,18,"3.58"
2024-05-13,"60+",2,3,1,2,"0.17"
2024-06-10,"0_9",-1,7,6,1,"1.5"
2024-06-10,"10_19",2,6,5,1,"1.06"
2024-06-10,"20_29",14,40,17,23,"6.68"
2024-06-10,"30_39",15,63,32,32,"9.51"
2024-06-10,"40_49",11,53,27,26,"6.27"
2024-06-10,"50_59",12,46,22,24,"4.85"
2024-06-10,"60+",0,3,1,2,"0.17"
2024-07-11,"0_9",0,7,6,1,"1.5"
2024-07-11,"10_19",0,6,5,1,"1.06"
2024-07-11,"20_29",3,43,18,25,"7.18"
2024-07-11,"30_39",3,66,32,34,"9.96"
2024-07-11,"40_49",0,53,27,26,"6.27"
2024-07-11,"50_59",2,48,24,24,"5.06"
2024-07-11,"60+",1,4,2,2,"0.22"
